Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
20000,한섬,섬유·의류,0.78,0.64,0.51,0.46,0.46,0.41,0.33,0.31,0.32,0.29,0.26,0.24,0.24,9.13,6.91,5.53,5.0,5.02,4.42,3.61,3.41,3.5,4.88,4.39,4.06,4.03
20120,키다리스튜디오,IT 서비스,10.55,1.56,1.36,1.21,1.4,0.98,0.81,0.64,0.79,0.85,0.66,0.66,0.59,3872.67,87.98,76.33,68.07,78.96,,,,,,,,
20150,롯데에너지머티리얼즈,전기·전자,7.36,4.01,3.22,2.75,2.92,1.92,1.58,1.31,1.2,1.56,1.31,0.99,0.82,105.26,63.24,50.7,43.34,45.97,64.1,52.63,43.58,39.84,,,,
20180,대신정보통신,IT 서비스,2.05,2.01,1.64,1.78,1.57,1.49,1.52,1.64,1.54,1.48,1.05,1.03,1.22,33.15,32.45,23.33,25.4,22.38,21.27,,,,,5.5,5.37,6.39
20400,대동금속,금속,0.71,0.8,0.69,0.66,0.69,0.64,0.67,0.62,0.67,0.51,0.43,0.41,0.42,16.77,13.22,11.42,10.95,11.44,13.83,14.35,13.28,14.38,32.28,27.49,25.85,26.59
20560,아시아나항공,운송·창고,1.41,2.82,2.15,1.8,2.09,1.38,1.21,1.13,1.27,1.19,1.08,1.09,1.15,,,,,,25.81,22.55,21.05,23.65,28.09,25.47,25.83,27.29
20710,시공테크,일반서비스,1.16,1.16,0.89,0.78,0.78,0.69,0.75,0.81,0.66,0.61,0.6,0.52,0.55,23.92,46.79,36.05,31.25,31.51,12.4,13.4,14.59,11.93,9.76,9.52,8.27,8.75
20760,일진디스플,전기·전자,2.48,7.61,6.88,4.71,4.38,2.31,2.04,1.83,1.98,2.24,2.15,1.78,1.73,,,,,,,,,,,,,
21040,대호특수강,금속,6.16,5.97,5.1,0.42,0.41,0.44,0.41,0.34,0.35,0.35,0.66,0.46,0.32,,39.62,33.88,2.82,2.71,,,,,,,,
21050,서원,금속,0.93,0.67,0.5,0.47,0.45,0.52,0.57,0.49,0.47,0.54,0.49,0.46,0.47,,6.01,4.54,4.19,4.05,248.62,271.24,235.6,222.73,,,,
21080,에이티넘인베스트,금융,2.66,1.3,1.04,0.88,0.87,0.73,0.74,0.79,0.87,0.75,0.65,0.63,0.56,16.73,3.0,2.39,2.04,2.01,4.35,4.39,4.69,5.18,6.66,5.78,5.62,4.95
21240,코웨이,일반서비스,3.5,2.57,2.35,2.13,2.05,1.53,1.33,1.54,1.75,1.57,1.74,1.82,2.19,12.66,10.54,9.64,8.74,8.38,7.71,6.72,7.77,8.84,8.82,9.76,10.18,12.28
21320,KCC건설,건설,0.47,0.39,0.3,0.28,0.3,0.25,0.23,0.22,0.21,0.2,0.2,0.19,0.18,4.89,3.67,2.82,2.62,2.77,25.82,23.37,22.23,21.51,8.68,8.69,8.04,7.64
21650,한국큐빅,화학,0.94,0.81,0.65,0.61,0.68,0.64,0.61,0.61,0.57,0.5,0.46,0.44,0.42,6.0,8.02,6.39,6.03,6.75,7.84,7.45,7.44,6.91,5.18,4.78,4.57,4.41
